StateName,TotalPop,VotePop,Registered,PercentReg,Voted,PercentVote
ALABAMA,3717,3651,2526,68,2095,57.4
ALASKA,518,502,358,69.1,308,61.3
ARIZONA,5196,4585,3145,60.5,2769,60.4
ARKANSAS,2216,2116,1456,65.7,1241,58.7
CALIFORNIA,29894,24890,16096,53.8,14416,57.9
COLORADO,4242,3895,2893,68.2,2707,69.5
CONNECTICUT,2759,2483,1763,63.9,1586,63.9
DELAWARE,729,669,487,66.8,417,62.3
DISTRICT OF COLUMBIA,553,512,420,75.9,380,74.3
FLORIDA,16202,14428,9604,59.3,8578,59.5
GEORGIA,7626,7048,4892,64.1,4246,60.2
HAWAII,1064,974,530,49.8,460,47.3
IDAHO,1224,1150,790,64.5,714,62.1
ILLINOIS,9723,8970,6665,68.5,5719,63.8
INDIANA,4988,4795,3298,66.1,2795,58.3
IOWA,2394,2292,1657,69.2,1454,63.4
KANSAS,2142,2029,1438,67.1,1243,61.3
KENTUCKY,3348,3246,2253,67.3,1850,57
LOUISIANA,3463,3353,2446,70.6,2067,61.6
MAINE,1058,1038,830,78.5,754,72.7
MARYLAND,4623,4158,3114,67.3,2737,65.8
MASSACHUSETTS,5374,4967,3660,68.1,3315,66.7
MICHIGAN,7624,7332,5434,71.3,4713,64.3
MINNESOTA,4190,3985,3055,72.9,2738,68.7
MISSISSIPPI,2203,2170,1725,78.3,1470,67.7
MISSOURI,4626,4486,3333,72.1,2906,64.8
MONTANA,798,790,581,72.8,521,65.9
NEBRASKA,1407,1336,1008,71.7,893,66.8
NEVADA,2234,1975,1371,61.4,1195,60.5
NEW HAMPSHIRE,1044,1012,763,73.1,698,69
NEW JERSEY,6862,5958,4165,60.7,3665,61.5
NEW MEXICO,1547,1396,916,59.2,765,54.8
NEW YORK,15506,13751,9142,59,7869,57.2
NORTH CAROLINA,7631,6960,5194,68.1,4700,67.5
NORTH DAKOTA,583,564,424,72.8,362,64.2
OHIO,8811,8499,6128,69.5,5408,63.6
OKLAHOMA,2923,2746,1861,63.7,1555,56.6
OREGON,3185,2929,2147,67.4,1942,66.3
PENNSYLVANIA,9980,9596,6909,69.2,6008,62.6
RHODE ISLAND,836,766,538,64.4,464,60.6
SOUTH CAROLINA,3733,3598,2575,69,2233,62.1
SOUTH DAKOTA,631,612,437,69.3,362,59.1
TENNESSEE,5057,4872,3251,64.3,2630,54
TEXAS,20172,17378,11724,58.1,9626,55.4
UTAH,2096,1969,1398,66.7,1234,62.7
VERMONT,500,488,351,70.2,305,62.5
VIRGINIA,6343,5829,4399,69.4,3973,68.2
WASHINGTON,5592,5104,3906,69.9,3382,66.3
WEST VIRGINIA,1434,1425,913,63.6,723,50.8
WISCONSIN,4465,4354,3323,74.4,3068,70.5
WYOMING,436,427,304,69.7,277,64.8